"Table 24. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2008 and 2009 NSDUHs  ",,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,17.92%,17.51%,18.34%,18.25%,17.81%,18.71%,17.86%,17.40%,18.34%
2,Northeast,18.18%,17.35%,19.04%,18.61%,17.74%,19.51%,18.10%,17.16%,19.08%
3,Midwest,18.36%,17.70%,19.04%,19.22%,18.50%,19.96%,18.21%,17.46%,18.99%
4,South,17.33%,16.69%,18.00%,17.06%,16.42%,17.73%,17.38%,16.64%,18.14%
5,West,18.23%,17.34%,19.16%,18.88%,17.90%,19.89%,18.12%,17.09%,19.19%
6,Alabama,17.44%,15.37%,19.71%,16.53%,14.30%,19.03%,17.59%,15.29%,20.16%
7,Alaska,16.72%,14.63%,19.04%,15.79%,13.39%,18.53%,16.90%,14.57%,19.51%
8,Arizona,17.15%,14.92%,19.64%,18.31%,15.77%,21.15%,16.95%,14.48%,19.75%
9,Arkansas,19.60%,17.32%,22.09%,19.89%,17.35%,22.70%,19.55%,17.01%,22.37%
10,California,17.44%,16.08%,18.88%,18.49%,16.98%,20.11%,17.23%,15.70%,18.89%
11,Colorado,18.95%,16.59%,21.55%,17.74%,15.27%,20.51%,19.15%,16.53%,22.07%
12,Connecticut,17.87%,15.62%,20.37%,19.35%,16.75%,22.25%,17.64%,15.18%,20.40%
13,Delaware,17.75%,15.52%,20.23%,18.41%,15.99%,21.11%,17.64%,15.19%,20.40%
14,District of Columbia,17.99%,15.85%,20.34%,17.44%,15.02%,20.15%,18.12%,15.68%,20.84%
15,Florida,16.99%,15.64%,18.42%,16.69%,15.29%,18.19%,17.03%,15.52%,18.66%
16,Georgia,16.50%,14.40%,18.85%,16.16%,13.85%,18.78%,16.56%,14.23%,19.19%
17,Hawaii,17.52%,15.30%,19.99%,19.54%,16.70%,22.73%,17.20%,14.75%,19.95%
18,Idaho,19.51%,17.37%,21.84%,19.37%,17.00%,21.98%,19.54%,17.14%,22.18%
19,Illinois,16.68%,15.40%,18.04%,17.19%,15.76%,18.71%,16.59%,15.14%,18.15%
20,Indiana,20.37%,18.06%,22.89%,20.62%,17.94%,23.58%,20.33%,17.78%,23.13%
21,Iowa,17.23%,15.23%,19.43%,18.24%,15.82%,20.93%,17.05%,14.84%,19.51%
22,Kansas,17.24%,15.12%,19.61%,17.89%,15.36%,20.74%,17.13%,14.78%,19.76%
23,Kentucky,19.23%,17.02%,21.66%,17.78%,15.46%,20.37%,19.46%,17.02%,22.15%
24,Louisiana,17.46%,15.39%,19.76%,16.81%,14.50%,19.40%,17.59%,15.27%,20.19%
25,Maine,19.25%,17.01%,21.72%,19.59%,16.99%,22.48%,19.20%,16.76%,21.91%
26,Maryland,16.86%,14.60%,19.40%,17.72%,15.17%,20.58%,16.72%,14.23%,19.54%
27,Massachusetts,18.01%,15.88%,20.36%,18.31%,15.86%,21.05%,17.95%,15.59%,20.59%
28,Michigan,18.63%,17.37%,19.96%,19.81%,18.35%,21.36%,18.43%,17.01%,19.94%
29,Minnesota,18.94%,16.79%,21.29%,19.72%,17.16%,22.55%,18.81%,16.44%,21.43%
30,Mississippi,16.95%,14.83%,19.30%,17.28%,14.95%,19.87%,16.89%,14.54%,19.53%
31,Missouri,19.11%,16.85%,21.59%,21.43%,18.60%,24.55%,18.72%,16.26%,21.47%
32,Montana,19.18%,16.93%,21.65%,19.20%,16.77%,21.88%,19.17%,16.66%,21.96%
33,Nebraska,17.56%,15.52%,19.82%,17.25%,14.88%,19.92%,17.63%,15.35%,20.16%
34,Nevada,20.59%,18.08%,23.34%,20.46%,17.71%,23.52%,20.60%,17.87%,23.63%
35,New Hampshire,18.35%,16.21%,20.69%,19.88%,17.27%,22.79%,18.11%,15.78%,20.70%
36,New Jersey,17.65%,15.30%,20.27%,18.52%,16.08%,21.23%,17.51%,14.92%,20.44%
37,New Mexico,17.85%,15.67%,20.26%,18.04%,15.65%,20.71%,17.82%,15.38%,20.55%
38,New York,18.35%,16.99%,19.81%,18.27%,16.74%,19.90%,18.37%,16.81%,20.04%
39,North Carolina,17.74%,15.60%,20.11%,16.43%,14.14%,19.02%,17.95%,15.58%,20.60%
40,North Dakota,15.46%,13.48%,17.67%,15.32%,13.08%,17.86%,15.50%,13.26%,18.04%
41,Ohio,18.41%,17.08%,19.83%,18.75%,17.31%,20.27%,18.36%,16.86%,19.96%
42,Oklahoma,20.33%,17.88%,23.01%,20.56%,17.78%,23.65%,20.28%,17.58%,23.29%
43,Oregon,19.55%,17.20%,22.14%,20.51%,17.91%,23.39%,19.40%,16.81%,22.27%
44,Pennsylvania,17.83%,16.42%,19.32%,18.55%,16.99%,20.21%,17.71%,16.13%,19.41%
45,Rhode Island,23.53%,20.81%,26.48%,22.77%,19.62%,26.25%,23.67%,20.63%,27.01%
46,South Carolina,16.95%,14.79%,19.35%,16.99%,14.60%,19.69%,16.94%,14.57%,19.61%
47,South Dakota,16.40%,14.37%,18.67%,16.94%,14.68%,19.47%,16.31%,14.04%,18.87%
48,Tennessee,19.12%,16.89%,21.57%,17.43%,15.17%,19.96%,19.38%,16.90%,22.12%
49,Texas,16.47%,15.21%,17.82%,16.11%,14.74%,17.59%,16.54%,15.10%,18.09%
50,Utah,21.78%,19.45%,24.31%,21.53%,18.70%,24.66%,21.85%,19.16%,24.80%
51,Vermont,18.66%,16.46%,21.07%,19.42%,16.97%,22.14%,18.53%,16.11%,21.22%
52,Virginia,16.33%,14.31%,18.58%,18.33%,15.81%,21.15%,15.99%,13.79%,18.47%
53,Washington,19.85%,17.53%,22.39%,20.00%,17.44%,22.83%,19.82%,17.26%,22.66%
54,West Virginia,20.00%,17.63%,22.61%,21.21%,18.54%,24.16%,19.83%,17.23%,22.71%
55,Wisconsin,19.96%,17.64%,22.50%,22.43%,19.70%,25.43%,19.55%,16.98%,22.39%
56,Wyoming,20.24%,17.88%,22.84%,20.38%,17.85%,23.16%,20.22%,17.60%,23.12%
