Order,State,"18 or OlderEstimate","18 or Older95% CI (Lower)","18 or Older95% CI (Upper)","18-25Estimate","18-2595% CI (Lower)","18-2595% CI (Upper)","26 or OlderEstimate","26 or Older95% CI (Lower)","26 or Older95% CI (Upper)"
1,Total U.S.,18.19%,17.77%,18.62%,19.06%,18.56%,19.57%,18.04%,17.56%,18.54%
6,Alabama,19.34%,17.15%,21.74%,19.44%,17.04%,22.08%,19.32%,16.86%,22.06%
7,Alaska,18.94%,16.73%,21.35%,22.34%,19.50%,25.46%,18.30%,15.83%,21.06%
8,Arizona,18.83%,16.51%,21.39%,20.71%,17.98%,23.73%,18.50%,15.88%,21.44%
9,Arkansas,19.81%,17.43%,22.43%,18.57%,16.18%,21.21%,20.03%,17.33%,23.03%
10,California,17.68%,16.39%,19.04%,20.27%,18.69%,21.96%,17.19%,15.72%,18.77%
11,Colorado,18.12%,15.97%,20.50%,20.10%,17.59%,22.87%,17.79%,15.38%,20.49%
12,Connecticut,16.71%,14.63%,19.03%,17.63%,15.29%,20.23%,16.57%,14.24%,19.19%
13,Delaware,18.26%,16.15%,20.58%,19.47%,16.88%,22.34%,18.06%,15.70%,20.68%
14,District of Columbia,19.44%,17.24%,21.85%,18.60%,16.28%,21.17%,19.65%,17.05%,22.53%
15,Florida,16.87%,15.55%,18.27%,17.66%,16.24%,19.18%,16.74%,15.26%,18.34%
16,Georgia,18.99%,16.81%,21.39%,17.63%,15.24%,20.31%,19.24%,16.77%,21.98%
17,Hawaii,17.48%,15.35%,19.85%,19.84%,17.31%,22.63%,17.12%,14.75%,19.77%
18,Idaho,20.58%,18.24%,23.14%,19.55%,16.94%,22.44%,20.77%,18.11%,23.71%
19,Illinois,15.86%,14.64%,17.16%,17.32%,15.86%,18.89%,15.61%,14.24%,17.09%
20,Indiana,19.87%,17.59%,22.36%,21.09%,18.61%,23.80%,19.65%,17.09%,22.50%
21,Iowa,18.40%,16.19%,20.84%,20.19%,17.61%,23.06%,18.09%,15.61%,20.86%
22,Kansas,18.20%,16.03%,20.59%,18.75%,16.28%,21.49%,18.10%,15.66%,20.83%
23,Kentucky,19.47%,17.15%,22.03%,18.99%,16.47%,21.79%,19.55%,16.96%,22.44%
24,Louisiana,19.28%,17.26%,21.49%,17.86%,15.68%,20.28%,19.55%,17.22%,22.10%
25,Maine,20.05%,17.70%,22.62%,20.81%,18.30%,23.58%,19.93%,17.34%,22.81%
26,Maryland,17.93%,15.75%,20.34%,18.11%,15.78%,20.71%,17.90%,15.45%,20.63%
27,Massachusetts,17.38%,15.38%,19.58%,19.72%,17.31%,22.39%,16.97%,14.70%,19.50%
28,Michigan,19.81%,18.52%,21.16%,20.43%,18.98%,21.95%,19.70%,18.24%,21.25%
29,Minnesota,17.18%,15.01%,19.58%,20.13%,17.57%,22.97%,16.69%,14.30%,19.40%
30,Mississippi,20.27%,18.00%,22.76%,17.87%,15.63%,20.36%,20.71%,18.09%,23.60%
31,Missouri,18.99%,16.80%,21.38%,18.50%,16.20%,21.06%,19.07%,16.60%,21.81%
32,Montana,18.92%,16.72%,21.33%,20.10%,17.59%,22.87%,18.72%,16.26%,21.47%
33,Nebraska,17.89%,15.72%,20.29%,18.52%,16.15%,21.16%,17.78%,15.33%,20.52%
