"Table 23. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2007 and 2008 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section A.11 in Appendix A of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent major depressive episode modules. Therefore, data from youths aged 12 to 17 were not combined with data from persons aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
NOTE: The 2007-2008 estimates may differ from estimates published prior to 2012 due to updates (see Section 1.5 of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs). ,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2007 and 2008 (Revised March 2012).",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,6.60%,6.35%,6.86%,8.24%,7.90%,8.59%,8.21%,7.90%,8.54%,6.33%,6.04%,6.63%
2,Northeast,6.44%,5.98%,6.93%,8.08%,7.54%,8.65%,8.12%,7.54%,8.74%,6.16%,5.65%,6.71%
3,Midwest,6.74%,6.37%,7.14%,8.39%,7.93%,8.87%,8.53%,8.08%,9.01%,6.43%,6.00%,6.88%
4,South,6.61%,6.23%,7.01%,8.20%,7.76%,8.67%,7.82%,7.39%,8.28%,6.40%,5.98%,6.86%
5,West,6.60%,6.11%,7.12%,8.28%,7.68%,8.93%,8.57%,7.94%,9.26%,6.24%,5.69%,6.83%
6,Alabama,5.84%,4.72%,7.20%,8.36%,6.90%,10.09%,7.60%,6.17%,9.32%,5.54%,4.32%,7.09%
7,Alaska,6.32%,5.14%,7.75%,7.74%,6.38%,9.35%,7.85%,6.29%,9.74%,6.03%,4.74%,7.65%
8,Arizona,7.06%,5.78%,8.59%,8.92%,7.30%,10.86%,9.06%,7.35%,11.11%,6.72%,5.32%,8.47%
9,Arkansas,7.38%,6.12%,8.88%,8.77%,7.34%,10.45%,8.50%,7.00%,10.27%,7.20%,5.79%,8.91%
10,California,6.12%,5.40%,6.93%,7.83%,6.94%,8.83%,8.37%,7.43%,9.43%,5.69%,4.88%,6.63%
11,Colorado,6.84%,5.61%,8.32%,8.90%,7.40%,10.67%,8.42%,6.85%,10.30%,6.58%,5.22%,8.26%
12,Connecticut,6.78%,5.60%,8.20%,8.20%,6.77%,9.90%,8.62%,7.13%,10.39%,6.50%,5.19%,8.10%
13,Delaware,6.22%,5.07%,7.61%,8.17%,6.77%,9.82%,7.74%,6.26%,9.53%,5.97%,4.71%,7.53%
14,District of Columbia,6.60%,5.44%,7.99%,7.19%,5.86%,8.79%,7.97%,6.45%,9.82%,6.30%,4.98%,7.93%
15,Florida,6.56%,5.79%,7.42%,7.71%,6.83%,8.69%,7.73%,6.80%,8.78%,6.39%,5.53%,7.37%
16,Georgia,6.54%,5.35%,7.98%,8.26%,6.84%,9.95%,7.41%,6.07%,9.01%,6.40%,5.07%,8.04%
17,Hawaii,5.90%,4.68%,7.42%,8.26%,6.67%,10.20%,8.15%,6.54%,10.11%,5.55%,4.21%,7.27%
18,Idaho,7.44%,6.19%,8.91%,8.59%,7.15%,10.30%,8.46%,6.99%,10.20%,7.25%,5.87%,8.94%
19,Illinois,5.91%,5.20%,6.71%,7.53%,6.66%,8.49%,7.78%,6.85%,8.83%,5.57%,4.77%,6.50%
20,Indiana,8.23%,6.78%,9.96%,8.86%,7.42%,10.54%,9.31%,7.70%,11.22%,8.05%,6.43%,10.03%
21,Iowa,6.25%,5.22%,7.48%,7.79%,6.48%,9.33%,8.17%,6.78%,9.82%,5.91%,4.76%,7.32%
22,Kansas,7.28%,6.00%,8.81%,9.03%,7.48%,10.87%,8.36%,6.81%,10.22%,7.08%,5.65%,8.83%
23,Kentucky,7.66%,6.28%,9.32%,9.35%,7.87%,11.07%,8.34%,6.86%,10.11%,7.56%,6.04%,9.42%
24,Louisiana,6.21%,5.09%,7.56%,8.03%,6.67%,9.66%,7.16%,5.84%,8.75%,6.02%,4.76%,7.60%
25,Maine,7.38%,5.99%,9.05%,8.49%,7.08%,10.15%,9.27%,7.71%,11.11%,7.11%,5.61%,8.98%
26,Maryland,6.17%,5.04%,7.52%,7.24%,5.92%,8.83%,8.37%,6.84%,10.21%,5.80%,4.56%,7.34%
27,Massachusetts,6.57%,5.40%,7.97%,8.42%,6.96%,10.16%,8.43%,6.94%,10.20%,6.24%,4.96%,7.83%
28,Michigan,6.60%,5.85%,7.42%,8.24%,7.35%,9.22%,9.20%,8.21%,10.30%,6.15%,5.32%,7.11%
29,Minnesota,7.04%,5.77%,8.56%,9.46%,7.93%,11.26%,8.43%,6.92%,10.24%,6.80%,5.41%,8.51%
30,Mississippi,5.40%,4.34%,6.72%,7.39%,6.08%,8.96%,6.56%,5.24%,8.19%,5.19%,4.01%,6.70%
31,Missouri,7.04%,5.85%,8.46%,8.64%,7.18%,10.37%,9.06%,7.52%,10.87%,6.71%,5.39%,8.33%
32,Montana,6.76%,5.57%,8.19%,8.61%,7.19%,10.28%,9.25%,7.66%,11.13%,6.34%,5.03%,7.96%
33,Nebraska,5.63%,4.55%,6.95%,7.62%,6.21%,9.32%,7.32%,5.91%,9.04%,5.31%,4.13%,6.82%
34,Nevada,7.02%,5.73%,8.56%,8.16%,6.68%,9.93%,9.60%,7.82%,11.72%,6.64%,5.25%,8.36%
35,New Hampshire,7.75%,6.35%,9.42%,8.90%,7.42%,10.64%,8.68%,7.11%,10.57%,7.61%,6.07%,9.50%
36,New Jersey,5.87%,4.72%,7.28%,7.85%,6.50%,9.44%,7.24%,5.93%,8.82%,5.66%,4.40%,7.25%
37,New Mexico,7.36%,5.96%,9.07%,8.86%,7.29%,10.73%,8.85%,7.16%,10.90%,7.09%,5.54%,9.03%
38,New York,6.52%,5.71%,7.43%,7.99%,7.07%,9.01%,8.21%,7.23%,9.32%,6.22%,5.31%,7.26%
39,North Carolina,7.06%,5.76%,8.63%,8.96%,7.55%,10.59%,8.46%,6.93%,10.29%,6.84%,5.41%,8.61%
40,North Dakota,6.58%,5.43%,7.96%,8.72%,7.28%,10.42%,8.14%,6.71%,9.85%,6.22%,4.93%,7.82%
41,Ohio,6.61%,5.88%,7.42%,8.34%,7.42%,9.35%,8.29%,7.38%,9.30%,6.33%,5.52%,7.25%
42,Oklahoma,7.93%,6.48%,9.67%,8.38%,6.88%,10.18%,9.45%,7.72%,11.52%,7.65%,6.04%,9.65%
43,Oregon,7.01%,5.71%,8.58%,9.35%,7.78%,11.19%,9.55%,7.89%,11.51%,6.62%,5.20%,8.38%
44,Pennsylvania,6.21%,5.46%,7.05%,7.99%,7.07%,9.03%,7.96%,6.96%,9.10%,5.92%,5.09%,6.88%
45,Rhode Island,7.55%,6.22%,9.12%,8.48%,7.01%,10.23%,9.04%,7.39%,11.02%,7.27%,5.80%,9.08%
46,South Carolina,6.23%,5.09%,7.60%,8.73%,7.24%,10.50%,7.65%,6.22%,9.38%,6.00%,4.75%,7.54%
47,South Dakota,6.07%,4.92%,7.48%,8.37%,6.87%,10.15%,7.65%,6.26%,9.31%,5.79%,4.51%,7.39%
48,Tennessee,7.63%,6.22%,9.33%,8.76%,7.29%,10.50%,7.30%,5.93%,8.94%,7.68%,6.11%,9.62%
