"Table 23. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2008 and 2009 NSDUHs  ",,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,3.70%,3.51%,3.90%,3.55%,3.32%,3.79%,3.72%,3.50%,3.95%
2,Northeast,3.64%,3.31%,4.01%,3.65%,3.30%,4.04%,3.64%,3.26%,4.06%
3,Midwest,4.00%,3.68%,4.34%,3.79%,3.48%,4.12%,4.04%,3.68%,4.43%
4,South,3.59%,3.30%,3.89%,3.28%,3.00%,3.58%,3.64%,3.32%,3.99%
5,West,3.63%,3.28%,4.01%,3.66%,3.26%,4.10%,3.62%,3.23%,4.06%
6,Alabama,3.57%,2.77%,4.58%,3.44%,2.64%,4.45%,3.59%,2.70%,4.75%
7,Alaska,3.49%,2.70%,4.49%,3.11%,2.33%,4.15%,3.56%,2.68%,4.71%
8,Arizona,3.84%,2.96%,4.96%,3.72%,2.84%,4.85%,3.86%,2.88%,5.14%
9,Arkansas,4.74%,3.71%,6.04%,3.99%,3.09%,5.15%,4.86%,3.71%,6.34%
10,California,3.20%,2.69%,3.81%,3.62%,3.02%,4.33%,3.12%,2.54%,3.83%
11,Colorado,4.65%,3.59%,5.99%,3.67%,2.80%,4.80%,4.81%,3.64%,6.34%
12,Connecticut,3.52%,2.70%,4.56%,3.53%,2.70%,4.61%,3.51%,2.62%,4.69%
13,Delaware,3.55%,2.74%,4.58%,3.49%,2.66%,4.57%,3.56%,2.67%,4.72%
14,District of Columbia,3.06%,2.32%,4.02%,3.00%,2.24%,4.00%,3.07%,2.24%,4.20%
15,Florida,3.64%,3.09%,4.28%,3.39%,2.83%,4.07%,3.67%,3.07%,4.39%
16,Georgia,3.39%,2.56%,4.48%,2.78%,2.05%,3.75%,3.49%,2.58%,4.73%
17,Hawaii,3.11%,2.36%,4.09%,3.89%,2.90%,5.21%,2.98%,2.18%,4.08%
