"Table 23. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,
"NOTE: Serious mental illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, as assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes individuals with diagnosis resulting in serious functional impairment. For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/population-data-nsduh/reports?tab=33.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,4.14%,3.94%,4.36%,4.17%,3.94%,4.41%,4.14%,3.90%,4.39%
2,Northeast,3.86%,3.51%,4.24%,4.17%,3.79%,4.60%,3.80%,3.41%,4.24%
3,Midwest,4.27%,3.97%,4.58%,4.60%,4.26%,4.97%,4.21%,3.87%,4.58%
4,South,4.20%,3.90%,4.52%,3.86%,3.56%,4.18%,4.26%,3.92%,4.63%
5,West,4.16%,3.79%,4.57%,4.25%,3.83%,4.71%,4.15%,3.71%,4.62%
6,Alabama,3.79%,2.93%,4.88%,3.77%,2.93%,4.85%,3.79%,2.83%,5.06%
7,Alaska,4.32%,3.43%,5.43%,4.57%,3.57%,5.83%,4.27%,3.27%,5.57%
8,Arizona,4.24%,3.32%,5.39%,4.14%,3.24%,5.29%,4.26%,3.23%,5.59%
9,Arkansas,5.27%,4.18%,6.61%,4.45%,3.49%,5.65%,5.41%,4.18%,6.96%
10,California,3.88%,3.31%,4.53%,3.92%,3.31%,4.65%,3.87%,3.22%,4.64%
11,Colorado,3.91%,3.05%,5.01%,4.41%,3.45%,5.61%,3.83%,2.87%,5.09%
12,Connecticut,3.38%,2.62%,4.35%,4.03%,3.12%,5.20%,3.28%,2.45%,4.38%
13,Delaware,4.12%,3.23%,5.24%,4.23%,3.28%,5.44%,4.10%,3.11%,5.39%
14,District of Columbia,3.86%,3.05%,4.88%,3.46%,2.66%,4.48%,3.95%,3.01%,5.18%
15,Florida,3.96%,3.37%,4.63%,3.76%,3.19%,4.44%,3.98%,3.33%,4.75%
16,Georgia,3.97%,3.09%,5.08%,3.66%,2.86%,4.67%,4.02%,3.02%,5.33%
17,Hawaii,3.44%,2.62%,4.50%,4.15%,3.15%,5.45%,3.32%,2.43%,4.53%
18,Idaho,4.76%,3.76%,6.00%,5.13%,4.06%,6.46%,4.69%,3.59%,6.12%
19,Illinois,3.37%,2.86%,3.98%,4.14%,3.49%,4.89%,3.24%,2.67%,3.94%
20,Indiana,4.53%,3.60%,5.69%,5.05%,4.02%,6.32%,4.44%,3.39%,5.80%
21,Iowa,4.36%,3.40%,5.56%,4.27%,3.31%,5.48%,4.37%,3.30%,5.77%
22,Kansas,4.34%,3.38%,5.55%,4.00%,3.08%,5.17%,4.40%,3.32%,5.81%
23,Kentucky,4.97%,3.90%,6.32%,4.62%,3.66%,5.81%,5.03%,3.83%,6.59%
24,Louisiana,4.24%,3.33%,5.37%,3.74%,2.91%,4.79%,4.33%,3.30%,5.66%
25,Maine,4.94%,3.91%,6.21%,4.76%,3.74%,6.03%,4.96%,3.83%,6.41%
26,Maryland,3.26%,2.51%,4.23%,3.89%,3.05%,4.95%,3.16%,2.33%,4.28%
27,Massachusetts,4.25%,3.35%,5.36%,4.45%,3.49%,5.66%,4.21%,3.22%,5.50%
28,Michigan,4.69%,4.06%,5.42%,5.35%,4.59%,6.22%,4.58%,3.87%,5.42%
29,Minnesota,4.18%,3.29%,5.30%,4.32%,3.34%,5.58%,4.16%,3.17%,5.44%
30,Mississippi,4.72%,3.66%,6.07%,3.93%,3.08%,5.00%,4.86%,3.66%,6.45%
31,Missouri,4.67%,3.70%,5.87%,4.73%,3.70%,6.02%,4.66%,3.58%,6.05%
32,Montana,4.65%,3.69%,5.84%,5.09%,4.02%,6.42%,4.58%,3.51%,5.94%
33,Nebraska,4.24%,3.36%,5.33%,4.54%,3.59%,5.73%,4.18%,3.21%,5.44%
34,Nevada,4.10%,3.20%,5.23%,4.37%,3.37%,5.66%,4.05%,3.06%,5.35%
35,New Hampshire,3.94%,3.12%,4.96%,4.89%,3.88%,6.14%,3.79%,2.89%,4.94%
36,New Jersey,3.28%,2.55%,4.22%,4.07%,3.16%,5.25%,3.16%,2.36%,4.23%
37,New Mexico,4.31%,3.34%,5.53%,4.37%,3.41%,5.58%,4.30%,3.21%,5.72%
38,New York,3.75%,3.18%,4.41%,3.94%,3.30%,4.69%,3.71%,3.08%,4.47%
39,North Carolina,4.74%,3.68%,6.09%,4.15%,3.24%,5.30%,4.84%,3.64%,6.40%
40,North Dakota,4.16%,3.31%,5.23%,4.69%,3.66%,5.98%,4.05%,3.08%,5.32%
41,Ohio,4.61%,3.98%,5.33%,4.57%,3.90%,5.36%,4.62%,3.91%,5.45%
42,Oklahoma,4.98%,3.95%,6.26%,4.10%,3.20%,5.25%,5.14%,3.96%,6.64%
43,Oregon,4.83%,3.82%,6.08%,4.94%,3.91%,6.21%,4.81%,3.69%,6.25%
44,Pennsylvania,4.05%,3.46%,4.74%,4.30%,3.65%,5.06%,4.01%,3.34%,4.80%
