"Table 23. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,
"NOTE: Serious mental illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, as assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders - Fourth Edition - Research Version - Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes individuals with diagnoses resulting in serious functional impairment. For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,4.15%,3.96%,4.35%,4.52%,4.25%,4.79%,4.09%,3.87%,4.32%
2,Northeast,3.93%,3.60%,4.28%,4.67%,4.26%,5.12%,3.80%,3.44%,4.20%
3,Midwest,4.45%,4.15%,4.77%,4.93%,4.57%,5.32%,4.37%,4.03%,4.74%
4,South,4.17%,3.90%,4.46%,4.18%,3.87%,4.52%,4.17%,3.86%,4.50%
5,West,4.02%,3.69%,4.39%,4.56%,4.11%,5.05%,3.93%,3.56%,4.34%
6,Alabama,4.53%,3.67%,5.59%,4.30%,3.43%,5.38%,4.57%,3.61%,5.78%
7,Alaska,3.90%,3.17%,4.78%,4.60%,3.64%,5.78%,3.77%,2.96%,4.78%
8,Arizona,4.09%,3.28%,5.10%,4.45%,3.49%,5.66%,4.03%,3.14%,5.17%
9,Arkansas,5.24%,4.25%,6.43%,4.49%,3.57%,5.63%,5.36%,4.26%,6.73%
10,California,3.77%,3.29%,4.33%,4.27%,3.63%,5.02%,3.68%,3.14%,4.32%
11,Colorado,3.73%,2.99%,4.63%,4.35%,3.44%,5.50%,3.62%,2.82%,4.64%
12,Connecticut,3.53%,2.82%,4.40%,4.48%,3.53%,5.68%,3.37%,2.62%,4.33%
13,Delaware,3.92%,3.16%,4.84%,4.77%,3.75%,6.05%,3.78%,2.95%,4.82%
14,District of Columbia,3.92%,3.19%,4.79%,3.84%,3.00%,4.90%,3.93%,3.12%,4.95%
15,Florida,3.75%,3.20%,4.38%,4.10%,3.45%,4.86%,3.70%,3.09%,4.41%
16,Georgia,4.17%,3.35%,5.18%,4.02%,3.21%,5.03%,4.19%,3.28%,5.35%
17,Hawaii,3.66%,2.89%,4.62%,4.22%,3.28%,5.42%,3.57%,2.72%,4.66%
18,Idaho,5.03%,4.11%,6.15%,5.25%,4.22%,6.50%,5.00%,3.96%,6.28%
19,Illinois,3.75%,3.22%,4.37%,4.26%,3.57%,5.07%,3.66%,3.07%,4.36%
20,Indiana,4.84%,3.93%,5.93%,5.39%,4.30%,6.74%,4.74%,3.74%,5.98%
21,Iowa,4.59%,3.73%,5.63%,4.85%,3.87%,6.05%,4.54%,3.59%,5.73%
22,Kansas,4.10%,3.31%,5.08%,4.17%,3.26%,5.31%,4.09%,3.21%,5.20%
23,Kentucky,5.10%,4.12%,6.30%,4.92%,3.92%,6.18%,5.13%,4.04%,6.50%
24,Louisiana,4.51%,3.68%,5.53%,4.10%,3.24%,5.18%,4.59%,3.66%,5.74%
25,Maine,5.33%,4.28%,6.62%,4.91%,3.86%,6.22%,5.39%,4.23%,6.84%
26,Maryland,3.25%,2.61%,4.04%,4.41%,3.45%,5.61%,3.06%,2.37%,3.95%
27,Massachusetts,4.23%,3.42%,5.23%,4.85%,3.85%,6.09%,4.12%,3.22%,5.26%
28,Michigan,4.45%,3.84%,5.15%,5.11%,4.30%,6.05%,4.34%,3.66%,5.13%
29,Minnesota,4.50%,3.69%,5.48%,4.96%,3.94%,6.22%,4.43%,3.54%,5.53%
30,Mississippi,4.97%,4.01%,6.13%,4.16%,3.25%,5.32%,5.11%,4.04%,6.45%
31,Missouri,5.05%,4.08%,6.24%,5.23%,4.19%,6.50%,5.02%,3.95%,6.37%
32,Montana,4.65%,3.73%,5.79%,4.95%,3.96%,6.15%,4.61%,3.58%,5.90%
33,Nebraska,4.38%,3.55%,5.40%,5.11%,4.07%,6.39%,4.25%,3.34%,5.41%
34,Nevada,4.30%,3.47%,5.33%,4.86%,3.85%,6.13%,4.21%,3.30%,5.38%
35,New Hampshire,4.73%,3.81%,5.86%,6.43%,5.08%,8.11%,4.47%,3.48%,5.72%
36,New Jersey,3.56%,2.90%,4.37%,4.84%,3.89%,6.02%,3.37%,2.65%,4.26%
37,New Mexico,4.34%,3.48%,5.40%,4.45%,3.53%,5.60%,4.32%,3.36%,5.54%
38,New York,3.76%,3.24%,4.36%,4.33%,3.64%,5.15%,3.66%,3.08%,4.35%
39,North Carolina,4.89%,3.98%,5.99%,4.51%,3.60%,5.63%,4.95%,3.94%,6.21%
40,North Dakota,4.02%,3.24%,4.97%,4.91%,3.91%,6.15%,3.82%,2.95%,4.93%
