,2011,2011,2011,2013,2013,2013,2012,2012,2012,2014,2014,2014,2009,2009,2009
,18 or Older Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate,18-25 Estimate,26 or Older Estimate,18 or Older Estimate,18-25 Estimate,26 or Older Estimate
,,,,,,,,,,,,,,,
Alabama,5.73%,3.95%,6.04%,3.79%,3.77%,3.79%,4.06%,3.89%,4.09%,4.53%,4.30%,4.57%,3.57%,3.44%,3.59%
Alaska,4.12%,3.87%,4.17%,4.32%,4.57%,4.27%,4.15%,4.52%,4.08%,3.90%,4.60%,3.77%,3.49%,3.11%,3.56%
Arizona,4.94%,4.36%,5.04%,4.24%,4.14%,4.26%,4.60%,4.24%,4.67%,4.09%,4.45%,4.03%,3.84%,3.72%,3.86%
Arkansas,5.41%,4.28%,5.60%,5.27%,4.45%,5.41%,5.07%,4.51%,5.16%,5.24%,4.49%,5.36%,4.74%,3.99%,4.86%
California,3.32%,3.72%,3.24%,3.88%,3.92%,3.87%,3.61%,3.64%,3.60%,3.77%,4.27%,3.68%,3.20%,3.62%,3.12%
Colorado,4.22%,4.40%,4.19%,3.91%,4.41%,3.83%,4.15%,4.37%,4.11%,3.73%,4.35%,3.62%,4.65%,3.67%,4.81%
Connecticut,3.46%,3.55%,3.44%,3.38%,4.03%,3.28%,3.24%,3.81%,3.15%,3.53%,4.48%,3.37%,3.52%,3.53%,3.51%
Delaware,3.79%,4.14%,3.73%,4.12%,4.23%,4.10%,3.74%,3.87%,3.72%,3.92%,4.77%,3.78%,3.55%,3.49%,3.56%
District of Columbia,3.52%,3.34%,3.56%,3.86%,3.46%,3.95%,3.35%,3.41%,3.33%,3.92%,3.84%,3.93%,3.06%,3.00%,3.07%
Florida,3.41%,3.54%,3.39%,3.96%,3.76%,3.98%,3.75%,3.53%,3.79%,3.75%,4.10%,3.70%,3.64%,3.39%,3.67%
Georgia,3.54%,3.66%,3.51%,3.97%,3.66%,4.02%,3.66%,3.86%,3.62%,4.17%,4.02%,4.19%,3.39%,2.78%,3.49%
Hawaii,3.38%,3.54%,3.36%,3.44%,4.15%,3.32%,3.15%,3.87%,3.04%,3.66%,4.22%,3.57%,3.11%,3.89%,2.98%
Idaho,5.29%,4.70%,5.40%,4.76%,5.13%,4.69%,4.67%,4.39%,4.72%,5.03%,5.25%,5.00%,4.75%,3.74%,4.93%
Illinois,3.44%,3.55%,3.43%,3.37%,4.14%,3.24%,3.21%,3.64%,3.14%,3.75%,4.26%,3.66%,3.62%,3.51%,3.64%
Indiana,4.89%,3.98%,5.06%,4.53%,5.05%,4.44%,4.51%,4.42%,4.53%,4.84%,5.39%,4.74%,4.71%,4.02%,4.82%
Iowa,4.59%,4.22%,4.66%,4.36%,4.27%,4.37%,4.12%,4.40%,4.07%,4.59%,4.85%,4.54%,3.83%,3.76%,3.84%
Kansas,4.14%,3.63%,4.23%,4.34%,4.00%,4.40%,4.33%,3.79%,4.43%,4.10%,4.17%,4.09%,3.51%,3.78%,3.46%
Kentucky,4.62%,4.12%,4.70%,4.97%,4.62%,5.03%,4.74%,4.15%,4.84%,5.10%,4.92%,5.13%,4.18%,3.42%,4.30%
Louisiana,3.78%,3.35%,3.86%,4.24%,3.74%,4.33%,3.56%,3.51%,3.57%,4.51%,4.10%,4.59%,3.59%,3.49%,3.61%
Maine,4.40%,4.17%,4.43%,4.94%,4.76%,4.96%,4.38%,4.74%,4.33%,5.33%,4.91%,5.39%,4.00%,4.33%,3.95%
Maryland,3.17%,3.55%,3.10%,3.26%,3.89%,3.16%,3.27%,3.51%,3.23%,3.25%,4.41%,3.06%,3.28%,3.46%,3.25%
Massachusetts,3.93%,3.92%,3.93%,4.25%,4.45%,4.21%,3.71%,3.86%,3.68%,4.23%,4.85%,4.12%,3.73%,3.21%,3.82%
