"Table 25. Had Serious Thoughts of Suicide in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,
"NOTE: Respondents were asked, ""At any time in the past 12 months, did you seriously think about trying to kill yourself?"" If they answered ""Yes,"" they were categorized as having serious thoughts of suicide in the past year.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,3.94%,3.76%,4.12%,7.44%,7.11%,7.79%,3.34%,3.14%,3.55%
2,Northeast,3.81%,3.52%,4.13%,7.60%,7.02%,8.22%,3.19%,2.87%,3.54%
3,Midwest,4.11%,3.84%,4.40%,7.83%,7.33%,8.35%,3.48%,3.18%,3.80%
4,South,3.84%,3.59%,4.12%,6.89%,6.44%,7.37%,3.33%,3.05%,3.64%
5,West,4.02%,3.71%,4.36%,7.84%,7.19%,8.55%,3.35%,3.01%,3.72%
6,Alabama,3.98%,3.26%,4.85%,7.31%,5.90%,9.02%,3.41%,2.63%,4.41%
7,Alaska,4.21%,3.44%,5.14%,8.30%,6.70%,10.25%,3.43%,2.62%,4.47%
8,Arizona,4.23%,3.43%,5.21%,7.04%,5.61%,8.81%,3.75%,2.87%,4.87%
9,Arkansas,4.58%,3.76%,5.58%,6.67%,5.32%,8.34%,4.23%,3.31%,5.39%
10,California,3.78%,3.32%,4.30%,7.82%,6.84%,8.93%,3.05%,2.56%,3.62%
11,Colorado,3.97%,3.30%,4.77%,7.52%,6.07%,9.27%,3.37%,2.65%,4.29%
12,Connecticut,3.34%,2.73%,4.08%,6.85%,5.45%,8.57%,2.78%,2.13%,3.61%
13,Delaware,3.79%,3.13%,4.59%,7.27%,5.90%,8.94%,3.21%,2.50%,4.12%
14,District of Columbia,3.91%,3.24%,4.71%,6.17%,4.89%,7.75%,3.43%,2.69%,4.36%
