"Table 24. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2013 and 2014 NSDUHs",,,,,,,,,,
"NOTE: Any mental illness is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, as assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders - Fourth Edition - Research Version - Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2013 and 2014.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,18.29%,17.92%,18.67%,19.75%,19.23%,20.28%,18.05%,17.61%,18.49%
2,Northeast,17.87%,17.14%,18.63%,20.80%,19.77%,21.88%,17.39%,16.57%,18.24%
3,Midwest,18.61%,17.97%,19.26%,20.45%,19.62%,21.32%,18.29%,17.57%,19.04%
4,South,18.01%,17.41%,18.62%,18.22%,17.51%,18.95%,17.97%,17.28%,18.68%
5,West,18.79%,18.02%,19.59%,20.70%,19.66%,21.79%,18.46%,17.59%,19.36%
6,Alabama,19.51%,17.25%,21.98%,18.09%,15.64%,20.83%,19.75%,17.22%,22.54%
7,Alaska,18.12%,16.10%,20.34%,20.33%,17.60%,23.37%,17.70%,15.45%,20.21%
8,Arizona,18.59%,16.40%,20.99%,18.76%,16.05%,21.80%,18.56%,16.13%,21.26%
9,Arkansas,20.00%,17.85%,22.34%,19.99%,17.22%,23.09%,20.00%,17.62%,22.61%
10,California,18.14%,16.96%,19.39%,19.75%,18.14%,21.47%,17.85%,16.51%,19.27%
11,Colorado,17.87%,15.83%,20.12%,21.24%,18.43%,24.34%,17.31%,15.06%,19.81%
12,Connecticut,16.44%,14.48%,18.61%,18.01%,15.14%,21.27%,16.19%,14.06%,18.57%
13,Delaware,19.06%,16.87%,21.47%,19.94%,17.33%,22.85%,18.92%,16.45%,21.66%
14,District of Columbia,19.32%,17.22%,21.60%,17.76%,15.16%,20.69%,19.66%,17.28%,22.28%
15,Florida,16.03%,14.80%,17.34%,17.33%,15.76%,19.02%,15.84%,14.47%,17.30%
16,Georgia,18.57%,16.45%,20.90%,18.55%,16.16%,21.19%,18.58%,16.19%,21.23%
17,Hawaii,17.04%,15.03%,19.25%,20.75%,17.87%,23.96%,16.45%,14.24%,18.94%
18,Idaho,20.81%,18.57%,23.24%,22.19%,19.45%,25.21%,20.57%,18.05%,23.33%
19,Illinois,16.37%,15.09%,17.74%,18.94%,17.14%,20.87%,15.94%,14.52%,17.47%
20,Indiana,20.25%,17.95%,22.77%,22.52%,19.65%,25.67%,19.85%,17.27%,22.71%
21,Iowa,16.83%,14.73%,19.15%,18.49%,15.76%,21.57%,16.53%,14.22%,19.13%
22,Kansas,17.56%,15.48%,19.86%,17.56%,15.01%,20.43%,17.57%,15.24%,20.16%
23,Kentucky,20.08%,17.78%,22.60%,20.16%,17.52%,23.09%,20.07%,17.48%,22.93%
24,Louisiana,19.83%,17.68%,22.17%,17.92%,15.41%,20.75%,20.17%,17.77%,22.81%
25,Maine,20.55%,18.18%,23.14%,21.88%,18.98%,25.07%,20.36%,17.76%,23.23%
26,Maryland,16.30%,14.35%,18.46%,19.72%,16.96%,22.80%,15.75%,13.59%,18.17%
27,Massachusetts,20.11%,17.86%,22.58%,21.53%,18.57%,24.82%,19.87%,17.33%,22.67%
28,Michigan,19.05%,17.75%,20.43%,21.95%,20.16%,23.85%,18.55%,17.08%,20.12%
29,Minnesota,19.65%,17.48%,22.02%,21.27%,18.47%,24.38%,19.39%,16.99%,22.04%
30,Mississippi,19.29%,17.04%,21.76%,16.29%,13.95%,18.93%,19.84%,17.26%,22.71%
