"Table 23. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2005 and 2006 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section A.11 in Appendix A of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent major depressive episode modules. Therefore, data from youths aged 12 to 17 were not combined with data from persons aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
NOTE: The 2005-2006 estimates may differ from estimates published prior to 2012 due to updates (see Section 1.5 of the report on State Estimates of Substance Use and Mental Disorders from the 2009-2010 NSDUHs). ,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2005 and 2006 (2006 Data - Revised March 2012).",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,6.53%,6.28%,6.79%,8.36%,8.02%,8.71%,8.43%,8.09%,8.78%,6.20%,5.92%,6.49%
2,Northeast,6.45%,6.01%,6.93%,8.05%,7.53%,8.61%,8.39%,7.82%,8.99%,6.14%,5.64%,6.67%
3,Midwest,6.90%,6.55%,7.27%,8.33%,7.89%,8.80%,8.83%,8.35%,9.32%,6.56%,6.17%,6.98%
4,South,6.59%,6.24%,6.96%,8.49%,8.04%,8.96%,8.32%,7.87%,8.79%,6.29%,5.90%,6.71%
5,West,6.13%,5.69%,6.60%,8.43%,7.81%,9.09%,8.25%,7.63%,8.91%,5.74%,5.25%,6.28%
6,Alabama,6.38%,5.22%,7.77%,7.63%,6.36%,9.13%,8.00%,6.54%,9.75%,6.10%,4.84%,7.66%
7,Alaska,6.10%,5.03%,7.38%,8.56%,7.15%,10.22%,7.70%,6.28%,9.41%,5.79%,4.62%,7.24%
8,Arizona,6.46%,5.28%,7.88%,8.63%,7.21%,10.29%,7.90%,6.46%,9.63%,6.20%,4.91%,7.80%
9,Arkansas,7.68%,6.38%,9.23%,8.47%,7.08%,10.09%,9.81%,8.16%,11.76%,7.31%,5.89%,9.04%
10,California,5.54%,4.88%,6.29%,8.13%,7.18%,9.19%,7.59%,6.64%,8.67%,5.16%,4.42%,6.02%
11,Colorado,7.13%,5.93%,8.56%,9.55%,8.00%,11.36%,9.38%,7.72%,11.35%,6.74%,5.44%,8.34%
12,Connecticut,6.31%,5.13%,7.73%,8.38%,7.00%,10.00%,8.57%,7.06%,10.37%,5.96%,4.69%,7.54%
13,Delaware,7.11%,5.84%,8.63%,8.82%,7.43%,10.45%,8.67%,7.11%,10.53%,6.85%,5.46%,8.56%
14,District of Columbia,7.75%,6.44%,9.30%,7.58%,6.22%,9.22%,8.87%,7.29%,10.74%,7.53%,6.09%,9.28%
15,Florida,5.95%,5.24%,6.75%,8.77%,7.86%,9.78%,7.80%,6.88%,8.82%,5.68%,4.90%,6.56%
16,Georgia,6.53%,5.36%,7.92%,8.18%,6.82%,9.79%,7.76%,6.34%,9.46%,6.31%,5.02%,7.89%
17,Hawaii,4.65%,3.69%,5.85%,8.50%,6.93%,10.38%,7.11%,5.66%,8.90%,4.27%,3.24%,5.61%
18,Idaho,7.25%,6.02%,8.70%,9.29%,7.73%,11.12%,9.87%,8.20%,11.83%,6.73%,5.38%,8.39%
19,Illinois,5.96%,5.24%,6.78%,7.64%,6.77%,8.62%,7.70%,6.77%,8.75%,5.65%,4.86%,6.57%
20,Indiana,7.41%,6.14%,8.91%,8.12%,6.83%,9.65%,9.34%,7.75%,11.21%,7.06%,5.67%,8.75%
21,Iowa,6.28%,5.19%,7.58%,8.36%,7.00%,9.97%,8.27%,6.76%,10.08%,5.91%,4.74%,7.35%
22,Kansas,6.98%,5.80%,8.37%,8.59%,7.27%,10.13%,9.26%,7.62%,11.21%,6.54%,5.26%,8.11%
23,Kentucky,7.75%,6.43%,9.33%,9.30%,7.89%,10.92%,8.64%,7.06%,10.53%,7.61%,6.15%,9.37%
24,Louisiana,6.59%,5.42%,7.99%,8.21%,6.92%,9.72%,8.49%,6.97%,10.30%,6.21%,4.95%,7.78%
