"Table 26. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2008 and 2009 NSDUHs  ",,,,,,,,,,,,,
Order,State,18 or Older Estimate,"18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","12-17
Estimate","12-17
95% CI (Lower)","12-17
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,6.53%,6.28%,6.78%,8.22%,7.88%,8.57%,8.21%,7.87%,8.56%,6.24%,5.96%,6.53%
2,Northeast,6.42%,5.96%,6.92%,7.92%,7.37%,8.52%,8.06%,7.45%,8.71%,6.15%,5.63%,6.70%
3,Midwest,6.72%,6.34%,7.11%,8.35%,7.89%,8.83%,8.50%,8.03%,8.99%,6.41%,5.98%,6.86%
4,South,6.44%,6.08%,6.83%,8.07%,7.62%,8.56%,7.79%,7.36%,8.24%,6.22%,5.81%,6.65%
5,West,6.57%,6.09%,7.08%,8.53%,7.90%,9.20%,8.67%,8.01%,9.38%,6.19%,5.65%,6.77%
6,Alabama,6.35%,5.20%,7.74%,7.99%,6.60%,9.64%,7.35%,5.98%,8.99%,6.19%,4.91%,7.76%
7,Alaska,5.86%,4.71%,7.28%,7.70%,6.25%,9.44%,7.31%,5.77%,9.22%,5.59%,4.34%,7.18%
8,Arizona,6.94%,5.65%,8.49%,8.99%,7.38%,10.92%,8.88%,7.15%,10.97%,6.61%,5.21%,8.34%
9,Arkansas,7.86%,6.40%,9.61%,9.03%,7.51%,10.81%,8.98%,7.35%,10.94%,7.67%,6.08%,9.64%
10,California,6.05%,5.35%,6.84%,8.14%,7.21%,9.18%,8.50%,7.53%,9.59%,5.58%,4.79%,6.49%
11,Colorado,7.56%,6.16%,9.24%,9.16%,7.64%,10.94%,8.40%,6.74%,10.43%,7.41%,5.88%,9.31%
12,Connecticut,5.95%,4.83%,7.31%,8.03%,6.60%,9.73%,8.11%,6.59%,9.95%,5.61%,4.41%,7.10%
13,Delaware,6.43%,5.22%,7.89%,7.86%,6.47%,9.51%,8.55%,6.97%,10.44%,6.08%,4.78%,7.71%
14,District of Columbia,5.93%,4.82%,7.26%,6.93%,5.48%,8.72%,7.39%,5.93%,9.17%,5.60%,4.37%,7.14%
15,Florida,6.40%,5.61%,7.28%,8.53%,7.54%,9.64%,7.93%,6.97%,9.00%,6.17%,5.31%,7.16%
16,Georgia,6.26%,5.09%,7.68%,7.88%,6.50%,9.53%,7.65%,6.21%,9.39%,6.02%,4.74%,7.62%
17,Hawaii,6.15%,4.92%,7.65%,8.08%,6.42%,10.12%,8.68%,6.84%,10.96%,5.74%,4.44%,7.39%
18,Idaho,7.47%,6.20%,8.97%,8.90%,7.34%,10.75%,9.19%,7.53%,11.17%,7.16%,5.78%,8.84%
19,Illinois,6.17%,5.45%,6.97%,7.48%,6.59%,8.49%,7.93%,7.00%,8.98%,5.85%,5.04%,6.77%
