"Table 26. Had at Least One Major Depressive Episode in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2012 and 2013 NSDUHs  ",,,,,,,,,,,,,
"NOTE: Major depressive episode (MDE) is defined as in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV), which specifies a period of at least 2 weeks when a person experienced a depressed mood or loss of interest or pleasure in daily activities and had a majority of specified depression symptoms. For details, see Section B of the ""2011-2012 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at http://www.samhsa.gov/data/population-data-nsduh/reports?tab=33.",,,,,,,,,,,,,
"NOTE: There are minor wording differences in the questions in the adult and adolescent MDE modules. Therefore, data from youths aged 12 to 17 were not combined with data from adults aged 18 or older to produce an estimate for those aged 12 or older. ",,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2012 and 2013.",,,,,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
1,Total U.S.,6.77%,6.51%,7.04%,9.86%,9.48%,10.26%,8.81%,8.46%,9.19%,6.41%,6.12%,6.73%
2,Northeast,6.51%,6.05%,7.00%,9.16%,8.54%,9.82%,8.62%,8.02%,9.26%,6.16%,5.65%,6.71%
3,Midwest,6.85%,6.47%,7.25%,9.74%,9.23%,10.27%,9.15%,8.66%,9.68%,6.46%,6.03%,6.91%
4,South,6.77%,6.39%,7.17%,9.77%,9.26%,10.30%,8.30%,7.84%,8.77%,6.51%,6.08%,6.96%
5,West,6.89%,6.41%,7.41%,10.61%,9.87%,11.39%,9.45%,8.78%,10.17%,6.43%,5.89%,7.02%
6,Alabama,6.30%,5.10%,7.77%,9.56%,7.86%,11.57%,8.46%,6.96%,10.26%,5.93%,4.61%,7.59%
7,Alaska,7.28%,5.98%,8.85%,9.40%,7.74%,11.36%,10.30%,8.49%,12.43%,6.71%,5.28%,8.50%
8,Arizona,6.97%,5.62%,8.61%,10.91%,9.02%,13.14%,8.50%,6.88%,10.45%,6.70%,5.21%,8.58%
9,Arkansas,7.32%,5.97%,8.93%,10.17%,8.42%,12.25%,8.80%,7.23%,10.66%,7.07%,5.60%,8.88%
10,California,6.55%,5.81%,7.38%,10.48%,9.37%,11.71%,9.08%,8.06%,10.21%,6.08%,5.25%,7.03%
11,Colorado,6.31%,5.11%,7.77%,9.66%,7.93%,11.73%,8.56%,6.96%,10.49%,5.93%,4.63%,7.57%
12,Connecticut,6.28%,5.11%,7.71%,9.40%,7.70%,11.43%,8.37%,6.83%,10.22%,5.95%,4.68%,7.55%
13,Delaware,6.99%,5.74%,8.49%,9.44%,7.74%,11.45%,9.32%,7.68%,11.26%,6.60%,5.21%,8.31%
14,District of Columbia,6.91%,5.67%,8.38%,7.38%,5.93%,9.15%,7.48%,6.02%,9.27%,6.78%,5.38%,8.51%
15,Florida,6.03%,5.26%,6.90%,9.64%,8.60%,10.79%,7.54%,6.63%,8.56%,5.80%,4.95%,6.79%
16,Georgia,6.75%,5.48%,8.29%,8.49%,6.93%,10.35%,7.78%,6.32%,9.54%,6.57%,5.16%,8.32%
17,Hawaii,6.69%,5.37%,8.31%,9.75%,7.94%,11.92%,9.61%,7.87%,11.69%,6.24%,4.79%,8.07%
18,Idaho,7.44%,6.20%,8.90%,10.55%,8.86%,12.52%,10.34%,8.53%,12.47%,6.93%,5.58%,8.57%
19,Illinois,5.57%,4.88%,6.36%,9.31%,8.27%,10.46%,8.04%,7.11%,9.09%,5.15%,4.38%,6.06%
20,Indiana,7.20%,5.99%,8.65%,9.82%,8.08%,11.88%,9.38%,7.74%,11.33%,6.82%,5.48%,8.45%
21,Iowa,7.27%,6.01%,8.76%,10.03%,8.34%,12.03%,10.13%,8.40%,12.15%,6.76%,5.40%,8.45%
22,Kansas,6.80%,5.59%,8.25%,9.87%,8.16%,11.90%,8.72%,7.17%,10.57%,6.45%,5.12%,8.10%
23,Kentucky,7.00%,5.73%,8.52%,9.09%,7.55%,10.90%,8.57%,7.02%,10.42%,6.74%,5.35%,8.46%
24,Louisiana,6.28%,5.08%,7.74%,9.31%,7.68%,11.25%,7.44%,6.03%,9.16%,6.07%,4.74%,7.74%
25,Maine,8.02%,6.63%,9.66%,11.20%,9.39%,13.31%,9.89%,8.20%,11.88%,7.76%,6.24%,9.60%
26,Maryland,6.34%,5.11%,7.85%,10.28%,8.50%,12.39%,8.68%,7.09%,10.60%,5.96%,4.61%,7.66%
27,Massachusetts,6.66%,5.49%,8.05%,8.61%,7.03%,10.50%,8.49%,6.94%,10.34%,6.34%,5.06%,7.91%
