"Table 25. Had Serious Thoughts of Suicide in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2011 and 2012 NSDUHs  ",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2011 and 2012.",,,,,,,,,,
Order,State,"18 or Older
Estimate","18 or Older
95% CI (Lower)","18 or Older
95% CI (Upper)","18-25
Estimate","18-25
95% CI (Lower)","18-25
95% CI (Upper)","26 or Older
Estimate","26 or Older
95% CI (Lower)","26 or Older
95% CI (Upper)"
1,Total U.S.,3.77%,3.59%,3.96%,7.03%,6.71%,7.36%,3.21%,3.01%,3.42%
2,Northeast,3.77%,3.46%,4.11%,7.01%,6.49%,7.57%,3.23%,2.89%,3.61%
3,Midwest,3.91%,3.65%,4.19%,7.35%,6.91%,7.80%,3.33%,3.03%,3.64%
4,South,3.65%,3.40%,3.93%,6.67%,6.26%,7.11%,3.14%,2.85%,3.45%
5,West,3.82%,3.50%,4.17%,7.32%,6.69%,8.00%,3.19%,2.84%,3.59%
6,Alabama,3.76%,3.07%,4.58%,7.84%,6.38%,9.59%,3.04%,2.32%,3.98%
7,Alaska,4.38%,3.54%,5.40%,8.29%,6.65%,10.28%,3.65%,2.75%,4.84%
8,Arizona,4.02%,3.24%,4.98%,8.28%,6.55%,10.41%,3.28%,2.46%,4.36%
9,Arkansas,4.34%,3.49%,5.38%,7.49%,6.08%,9.19%,3.80%,2.88%,5.00%
10,California,3.63%,3.16%,4.17%,7.09%,6.14%,8.17%,2.98%,2.47%,3.60%
11,Colorado,3.65%,2.95%,4.51%,6.77%,5.40%,8.46%,3.13%,2.38%,4.10%
12,Connecticut,3.66%,2.91%,4.58%,6.43%,5.16%,7.97%,3.22%,2.42%,4.29%
13,Delaware,3.80%,3.06%,4.70%,6.42%,5.13%,8.02%,3.35%,2.56%,4.37%
14,District of Columbia,4.19%,3.38%,5.18%,6.29%,5.04%,7.82%,3.70%,2.80%,4.87%
15,Florida,3.59%,3.09%,4.17%,6.86%,5.99%,7.84%,3.09%,2.55%,3.75%
16,Georgia,3.53%,2.87%,4.33%,6.69%,5.40%,8.26%,2.96%,2.26%,3.88%
17,Hawaii,3.80%,2.99%,4.82%,7.54%,6.02%,9.42%,3.21%,2.34%,4.40%
18,Idaho,4.08%,3.30%,5.03%,6.80%,5.40%,8.53%,3.60%,2.74%,4.70%
19,Illinois,3.42%,2.96%,3.96%,6.39%,5.51%,7.40%,2.92%,2.41%,3.54%
20,Indiana,4.25%,3.49%,5.18%,8.00%,6.57%,9.72%,3.59%,2.76%,4.67%
21,Iowa,3.94%,3.21%,4.82%,6.98%,5.58%,8.69%,3.40%,2.62%,4.41%
22,Kansas,3.83%,3.08%,4.75%,6.43%,5.15%,7.99%,3.35%,2.54%,4.42%
23,Kentucky,4.11%,3.33%,5.07%,6.82%,5.49%,8.45%,3.67%,2.82%,4.75%
24,Louisiana,3.96%,3.28%,4.76%,7.06%,5.81%,8.56%,3.38%,2.65%,4.32%
25,Maine,4.12%,3.33%,5.08%,7.90%,6.46%,9.62%,3.58%,2.73%,4.68%
26,Maryland,3.43%,2.78%,4.23%,7.00%,5.64%,8.65%,2.84%,2.16%,3.73%
27,Massachusetts,3.92%,3.18%,4.83%,6.86%,5.55%,8.44%,3.41%,2.60%,4.46%
28,Michigan,4.43%,3.88%,5.05%,8.68%,7.67%,9.81%,3.70%,3.09%,4.42%
29,Minnesota,3.59%,2.92%,4.42%,7.31%,5.82%,9.14%,2.99%,2.27%,3.91%
30,Mississippi,3.92%,3.18%,4.83%,6.44%,5.20%,7.95%,3.46%,2.64%,4.52%
31,Missouri,3.95%,3.18%,4.89%,6.41%,5.15%,7.97%,3.53%,2.69%,4.62%
32,Montana,3.80%,3.09%,4.66%,7.91%,6.40%,9.72%,3.13%,2.39%,4.10%
33,Nebraska,3.78%,3.09%,4.63%,7.01%,5.67%,8.64%,3.22%,2.47%,4.18%
34,Nevada,3.76%,3.04%,4.64%,7.32%,5.81%,9.18%,3.19%,2.43%,4.17%
35,New Hampshire,4.02%,3.22%,5.01%,7.40%,5.98%,9.12%,3.49%,2.64%,4.62%
36,New Jersey,3.37%,2.69%,4.22%,6.60%,5.30%,8.21%,2.89%,2.16%,3.86%
37,New Mexico,3.95%,3.19%,4.89%,7.60%,6.08%,9.45%,3.32%,2.51%,4.39%
38,New York,3.77%,3.24%,4.39%,6.91%,5.97%,7.99%,3.22%,2.64%,3.92%
39,North Carolina,3.62%,2.91%,4.49%,6.43%,5.09%,8.10%,3.15%,2.40%,4.13%
40,North Dakota,3.82%,3.11%,4.70%,7.53%,6.07%,9.31%,3.04%,2.28%,4.03%
41,Ohio,3.93%,3.43%,4.50%,7.85%,6.92%,8.89%,3.29%,2.74%,3.94%
42,Oklahoma,4.37%,3.53%,5.40%,7.24%,5.74%,9.08%,3.86%,2.94%,5.04%
43,Oregon,3.91%,3.19%,4.80%,8.10%,6.59%,9.92%,3.25%,2.49%,4.24%
44,Pennsylvania,3.88%,3.37%,4.46%,7.52%,6.56%,8.61%,3.27%,2.71%,3.93%
45,Rhode Island,4.05%,3.30%,4.98%,6.89%,5.56%,8.51%,3.51%,2.68%,4.59%
46,South Carolina,3.80%,3.09%,4.67%,6.84%,5.51%,8.46%,3.29%,2.51%,4.28%
47,South Dakota,3.81%,3.11%,4.67%,6.77%,5.41%,8.45%,3.30%,2.53%,4.30%
